시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
서울특별시 강남구 대치동,891-23,891,23,대치동 대우아이빌 명문가,전세,35.72,201712,11,23000,0,6,2004,선릉로90길 56
서울특별시 강남구 대치동,891-26,891,26,대치동대우아이빌멤버스,월세,41.66,201701,19,1000,105,3,2003,삼성로85길 42
서울특별시 강남구 대치동,891-26,891,26,대치동대우아이빌멤버스,월세,35.99,201706,5,140,140,5,2003,삼성로85길 42
서울특별시 강남구 대치동,891-26,891,26,대치동대우아이빌멤버스,월세,43.07,201706,24,1000,110,3,2003,삼성로85길 42
서울특별시 강남구 대치동,891-26,891,26,대치동대우아이빌멤버스,월세,35.43,201709,9,115,115,5,2003,삼성로85길 42
서울특별시 강남구 대치동,891-26,891,26,대치동대우아이빌멤버스,월세,29.56,201710,21,5000,45,2,2003,삼성로85길 42
서울특별시 강남구 대치동,891-26,891,26,대치동대우아이빌멤버스,전세,25.7,201710,26,16000,0,4,2003,삼성로85길 42
서울특별시 강남구 대치동,891-26,891,26,대치동대우아이빌멤버스,월세,25.7,201711,6,1000,60,2,2003,삼성로85길 42
서울특별시 강남구 대치동,891-26,891,26,대치동대우아이빌멤버스,전세,31.58,201711,16,20000,0,3,2003,삼성로85길 42
서울특별시 강남구 대치동,891-26,891,26,대치동대우아이빌멤버스,전세,35.43,201711,22,20000,0,2,2003,삼성로85길 42
서울특별시 강남구 대치동,889-56,889,56,더 나인 오피스텔,월세,32.7,201704,5,12000,30,6,2004,테헤란로64길 14
서울특별시 강남구 대치동,889-56,889,56,더 나인 오피스텔,전세,29.97,201704,13,18000,0,11,2004,테헤란로64길 14
서울특별시 강남구 대치동,889-56,889,56,더 나인 오피스텔,월세,32.34,201711,29,200,100,3,2004,테헤란로64길 14
서울특별시 강남구 대치동,889-56,889,56,더 나인 오피스텔,월세,32.7,201712,28,12000,30,6,2004,테헤란로64길 14
서울특별시 강남구 대치동,938-11,938,11,동민 맥스빌,월세,40.29,201707,14,17000,12,1,2004,선릉로62길 38
서울특별시 강남구 대치동,938-11,938,11,동민 맥스빌,전세,41.1,201710,10,27000,0,1,2004,선릉로62길 38
서울특별시 강남구 대치동,938,938,0,삼환 아르누보2,월세,26.42,201710,18,1000,125,7,2004,도곡로 405
서울특별시 강남구 대치동,938,938,0,삼환 아르누보2,월세,26.42,201711,16,1000,100,4,2004,도곡로 405
서울특별시 강남구 대치동,938,938,0,삼환 아르누보2,월세,26.42,201712,13,1000,100,5,2004,도곡로 405
서울특별시 강남구 대치동,890-59,890,59,선릉역 롯데골드로즈2,전세,39,201701,23,22500,0,12,2004,선릉로86길 31
서울특별시 강남구 대치동,890-59,890,59,선릉역 롯데골드로즈2,전세,39,201703,17,22000,0,5,2004,선릉로86길 31
서울특별시 강남구 대치동,890-59,890,59,선릉역 롯데골드로즈2,월세,44.46,201709,12,2000,100,11,2004,선릉로86길 31
